日本語,Word,Meaning,Topic,,
English,Travel,여행,여행,,
English,Trip,짧은 여행,여행,,
English,Journey,여정,여행,,
English,Tour,관광/투어,여행,,
English,Passport,여권,여행,,
English,Visa,비자,여행,,
English,Ticket,티켓/표,여행,,
English,Reservation,예약,여행,,
English,Booking,예약,여행,,
English,Airport,공항,여행,,
English,Airplane,비행기,여행,,
English,Flight,항공편,여행,,
English,Airline,항공사,여행,,
English,Gate,탑승구/게이트,여행,,
English,Boarding pass,탑승권,여행,,
English,Seat,좌석,여행,,
English,Aisle,통로,여행,,
English,Window,창문,여행,,
English,Luggage,짐/수하물,여행,,
English,Baggage,수하물,여행,,
English,Suitcase,여행 가방,여행,,
English,Backpack,배낭,여행,,
English,Carry-on,기내 반입 가방,여행,,
English,Check-in,체크인,여행,,
English,Check-out,체크아웃,여행,,
English,Departure,출발,여행,,
English,Arrival,도착,여행,,
English,Delay,지연,여행,,
English,Cancel,취소하다,여행,,
English,Security,보안 검색,여행,,
English,Customs,세관,여행,,
English,Immigration,입국 심사,여행,,
English,Passenger,승객,여행,,
English,Pilot,조종사,여행,,
English,Crew,승무원,여행,,
English,Terminal,터미널,여행,,
English,Duty-free,면세점,여행,,
English,Souvenir,기념품,여행,,
English,Currency,통화/화폐,여행,,
English,Exchange,환전,여행,,
English,Cash,현금,여행,,
English,Credit card,신용카드,여행,,
English,ATM,현금 인출기,여행,,
English,Hotel,호텔,여행,,
English,Hostel,호스텔,여행,,
English,Resort,리조트,여행,,
English,Reception,프런트/접수처,여행,,
English,Lobby,로비,여행,,
English,Key,열쇠,여행,,
English,Room,방,여행,,
English,Single room,1인실,여행,,
English,Double room,2인실,여행,,
English,Bed,침대,여행,,
English,Shower,샤워,여행,,
English,Towel,수건,여행,,
English,Map,지도,여행,,
English,Guidebook,가이드북,여행,,
English,Destination,목적지,여행,,
English,Itinerary,여행 일정,여행,,
English,Sightseeing,관광,여행,,
English,Tourist,관광객,여행,,
English,Guide,가이드/안내,여행,,
English,Museum,박물관,여행,,
English,Gallery,미술관,여행,,
English,Monument,기념비,여행,,
English,Statue,동상,여행,,
English,Castle,성,여행,,
English,Palace,궁전,여행,,
English,Temple,사원/절,여행,,
English,Church,교회,여행,,
English,Cathedral,대성당,여행,,
English,Park,공원,여행,,
English,Beach,해변,여행,,
English,Ocean,바다/대양,여행,,
English,Sea,바다,여행,,
English,Mountain,산,여행,,
English,Lake,호수,여행,,
English,River,강,여행,,
English,View,경치/전망,여행,,
English,Photo,사진,여행,,
English,Camera,카메라,여행,,
English,Transportation,교통,여행,,
English,Train,기차,여행,,
English,Subway,지하철,여행,,
English,Metro,지하철,여행,,
English,Station,역,여행,,
English,Platform,승강장,여행,,
English,Bus,버스,여행,,
English,Stop,정류장,여행,,
English,Taxi,택시,여행,,
English,Car rental,렌터카,여행,,
English,Driver,운전기사,여행,,
English,Ferry,여객선,여행,,
English,Boat,보트/배,여행,,
English,Port,항구,여행,,
English,Emergency,비상/응급,여행,,
English,Help,도움,여행,,
English,Police,경찰,여행,,
English,Hospital,병원,여행,,
English,Pharmacy,약국,여행,,