Language,Word,Meaning,Topic,,
Español,Viaje,여행,여행,,
Español,Excursión,짧은 여행,여행,,
Español,Jornada,여정,여행,,
Español,Turismo,관광/투어,여행,,
Español,Pasaporte,여권,여행,,
Español,Visa,비자,여행,,
Español,Billete,티켓/표,여행,,
Español,Reserva,예약,여행,,
Español,Reservación,예약(부킹),여행,,
Español,Aeropuerto,공항,여행,,
Español,Avión,비행기,여행,,
Español,Vuelo,항공편,여행,,
Español,Aerolínea,항공사,여행,,
Español,Puerta de embarque,탑승구/게이트,여행,,
Español,Tarjeta de embarque,탑승권,여행,,
Español,Asiento,좌석,여행,,
Español,Pasillo,통로,여행,,
Español,Ventana,창문,여행,,
Español,Equipaje,짐/수하물,여행,,
Español,Equipaje facturado,수하물,여행,,
Español,Maleta,여행 가방,여행,,
Español,Mochila,배낭,여행,,
Español,Equipaje de mano,기내 반입 가방,여행,,
Español,Facturación,체크인,여행,,
Español,Salida,체크아웃,여행,,
Español,Partida,출발,여행,,
Español,Llegada,도착,여행,,
Español,Retraso,지연,여행,,
Español,Cancelar,취소하다,여행,,
Español,Seguridad,보안 검색,여행,,
Español,Aduana,세관,여행,,
Español,Inmigración,입국 심사,여행,,
Español,Pasajero,승객,여행,,
Español,Piloto,조종사,여행,,
Español,Tripulación,승무원,여행,,
Español,Terminal,터미널,여행,,
Español,Tienda libre de impuestos,면세점,여행,,
Español,Recuerdo,기념품,여행,,
Español,Moneda,통화/화폐,여행,,
Español,Cambio de divisas,환전,여행,,
Español,Efectivo,현금,여행,,
Español,Tarjeta de crédito,신용카드,여행,,
Español,Cajero automático,ATM,여행,,
Español,Hotel,호텔,여행,,
Español,Hostal,호스텔,여행,,
Español,Complejo turístico,리조트,여행,,
Español,Recepción,프런트/접수처,여행,,
Español,Vestíbulo,로비,여행,,
Español,Llave,열쇠,여행,,
Español,Habitación,방,여행,,
Español,Habitación individual,1인실,여행,,
Español,Habitación doble,2인실,여행,,
Español,Cama,침대,여행,,
Español,Ducha,샤워,여행,,
Español,Toalla,수건,여행,,
Español,Mapa,지도,여행,,
Español,Guía,가이드북,여행,,
Español,Destino,목적지,여행,,
Español,Itinerario,여행 일정,여행,,
Español,Visita turística,관광,여행,,
Español,Turista,관광객,여행,,
Español,Guía turístico,가이드/안내,여행,,
Español,Museo,박물관,여행,,
Español,Galería de arte,미술관,여행,,
Español,Monumento,기념비,여행,,
Español,Estatua,동상,여행,,
Español,Castillo,성,여행,,
Español,Palacio,궁전,여행,,
Español,Templo,사원/절,여행,,
Español,Iglesia,교회,여행,,
Español,Catedral,대성당,여행,,
Español,Parque,공원,여행,,
Español,Playa,해변,여행,,
Español,Océano,바다/대양,여행,,
Español,Mar,바다,여행,,
Español,Montaña,산,여행,,
Español,Lago,호수,여행,,
Español,Río,강,여행,,
Español,Vista,경치/전망,여행,,
Español,Foto,사진,여행,,
Español,Cámara,카메라,여행,,
Español,Transporte,교통,여행,,
Español,Tren,기차,여행,,
Español,Metro,지하철,여행,,
Español,Subte,지하철(메트로),여행,,
Español,Estación,역,여행,,
Español,Andén,승강장,여행,,
Español,Autobús,버스,여행,,
Español,Parada,정류장,여행,,
Español,Taxi,택시,여행,,
Español,Alquiler de coches,렌터카,여행,,
Español,Conductor,운전기사,여행,,
Español,Ferry,여객선,여행,,
Español,Barco,보트/배,여행,,
Español,Puerto,항구,여행,,
Español,Emergencia,비상/응급,여행,,
Español,Ayuda,도움,여행,,
Español,Policía,경찰,여행,,
Español,Hospital,병원,여행,,
Español,Farmacia,약국,여행,,